oracle_gameid,esports_game_id,start_time,date,game_num,blue,red
LOLTMNT01_191712,113470687277255863,2025-01-25T21:00:00Z,2025-01-25 21:14:31,1,Shopify Rebellion,FlyQuest
LOLTMNT01_191718,113470687277255864,2025-01-25T21:00:00Z,2025-01-25 22:01:01,2,Shopify Rebellion,FlyQuest
LOLTMNT01_194069,113470687277255859,2025-01-26T21:00:00Z,2025-01-26 21:13:44,1,Disguised,100 Thieves
LOLTMNT01_194092,113470687277255860,2025-01-26T21:00:00Z,2025-01-26 22:01:48,2,Disguised,100 Thieves
LOLTMNT01_199069,113470687277255883,2025-02-01T21:00:00Z,2025-02-01 21:06:58,1,LYON,Shopify Rebellion
LOLTMNT01_198719,113470687277255884,2025-02-01T21:00:00Z,2025-02-01 21:59:47,2,Shopify Rebellion,LYON
LOLTMNT01_199106,113470687277255885,2025-02-01T21:00:00Z,2025-02-01 22:48:32,3,LYON,Shopify Rebellion
LOLTMNT01_199126,113470687277255880,2025-02-02T00:00:00Z,2025-02-02 00:38:41,2,Dignitas,Disguised
LOLTMNT01_199134,113470687277255881,2025-02-02T00:00:00Z,2025-02-02 01:34:49,3,Disguised,Dignitas
LOLTMNT01_199589,113470687277255871,2025-02-02T21:00:00Z,2025-02-02 21:12:08,1,Team Liquid,100 Thieves
LOLTMNT01_199614,113470687277255872,2025-02-02T21:00:00Z,2025-02-02 22:05:09,2,Team Liquid,100 Thieves
LOLTMNT01_199618,113470687277255873,2025-02-02T21:00:00Z,2025-02-02 23:06:46,3,100 Thieves,Team Liquid
LOLTMNT01_199622,113470687277255875,2025-02-03T00:00:00Z,2025-02-03 00:15:46,1,FlyQuest,Cloud9
LOLTMNT01_200234,113470687277255876,2025-02-03T00:00:00Z,2025-02-03 01:16:17,2,Cloud9,FlyQuest
LOLTMNT01_199637,113470687277255877,2025-02-03T00:00:00Z,2025-02-03 02:02:05,3,FlyQuest,Cloud9
LOLTMNT01_199640,113470687277255887,2025-02-03T03:00:00Z,2025-02-03 02:54:42,1,100 Thieves,Cloud9
