oracle_gameid,esports_game_id,tournament,date,start_time,blue,red,game_num
LOLTMNT01_191712,113470687277255863,lta_n_split_1_2025,2025-01-25 21:14:31,2025-01-25T21:00:00Z,Shopify Rebellion,FlyQuest,1
LOLTMNT01_191718,113470687277255864,lta_n_split_1_2025,2025-01-25 22:01:01,2025-01-25T21:00:00Z,Shopify Rebellion,FlyQuest,2
LOLTMNT01_194069,113470687277255859,lta_n_split_1_2025,2025-01-26 21:13:44,2025-01-26T21:00:00Z,Disguised,100 Thieves,1
LOLTMNT01_194092,113470687277255860,lta_n_split_1_2025,2025-01-26 22:01:48,2025-01-26T21:00:00Z,Disguised,100 Thieves,2
LOLTMNT01_199069,113470687277255883,lta_n_split_1_2025,2025-02-01 21:06:58,2025-02-01T21:00:00Z,LYON,Shopify Rebellion,1
LOLTMNT01_198719,113470687277255884,lta_n_split_1_2025,2025-02-01 21:59:47,2025-02-01T21:00:00Z,Shopify Rebellion,LYON,2
LOLTMNT01_199106,113470687277255885,lta_n_split_1_2025,2025-02-01 22:48:32,2025-02-01T21:00:00Z,LYON,Shopify Rebellion,3
LOLTMNT01_199126,113470687277255880,lta_n_split_1_2025,2025-02-02 00:38:41,2025-02-02T00:00:00Z,Dignitas,Disguised,2
LOLTMNT01_199134,113470687277255881,lta_n_split_1_2025,2025-02-02 01:34:49,2025-02-02T00:00:00Z,Disguised,Dignitas,3
LOLTMNT01_199589,113470687277255871,lta_n_split_1_2025,2025-02-02 21:12:08,2025-02-02T21:00:00Z,Team Liquid,100 Thieves,1
LOLTMNT01_199614,113470687277255872,lta_n_split_1_2025,2025-02-02 22:05:09,2025-02-02T21:00:00Z,Team Liquid,100 Thieves,2
LOLTMNT01_199618,113470687277255873,lta_n_split_1_2025,2025-02-02 23:06:46,2025-02-02T21:00:00Z,100 Thieves,Team Liquid,3
LOLTMNT01_199622,113470687277255875,lta_n_split_1_2025,2025-02-03 00:15:46,2025-02-03T00:00:00Z,FlyQuest,Cloud9,1
LOLTMNT01_200234,113470687277255876,lta_n_split_1_2025,2025-02-03 01:16:17,2025-02-03T00:00:00Z,Cloud9,FlyQuest,2
LOLTMNT01_199637,113470687277255877,lta_n_split_1_2025,2025-02-03 02:02:05,2025-02-03T00:00:00Z,FlyQuest,Cloud9,3
LOLTMNT01_199640,113470687277255887,lta_n_split_1_2025,2025-02-03 02:54:42,2025-02-03T03:00:00Z,100 Thieves,Cloud9,1
LOLTMNT02_210749,113470687277321429,lta_n_split_1_2025,2025-02-09 21:07:49,2025-02-09T21:00:00Z,Team Liquid,Shopify Rebellion,1
LOLTMNT02_211213,113470687277321430,lta_n_split_1_2025,2025-02-09 21:57:01,2025-02-09T21:00:00Z,Shopify Rebellion,Team Liquid,2
LOLTMNT02_210822,113470687277321433,lta_n_split_1_2025,2025-02-10 00:46:00,2025-02-10T03:00:00Z,Team Liquid,FlyQuest,1
LOLTMNT03_213249,114140723403612812,lta_n_split_2_2025,2025-04-05 20:14:15,2025-04-05T20:00:00Z,Team Liquid,FlyQuest,1
LOLTMNT03_214267,114140723403612796,lta_n_split_2_2025,2025-04-05 21:21:03,2025-04-05T21:00:00Z,Shopify Rebellion,Dignitas,1
LOLTMNT03_213276,114140723403612764,lta_n_split_2_2025,2025-04-05 23:03:21,2025-04-05T22:00:00Z,Cloud9,100 Thieves,1
LOLTMNT03_214777,114140723403612786,lta_n_split_2_2025,2025-04-06 20:07:24,2025-04-06T20:00:00Z,Shopify Rebellion,Cloud9,1
LOLTMNT03_213794,114140723403612776,lta_n_split_2_2025,2025-04-06 21:16:20,2025-04-06T21:00:00Z,Team Liquid,100 Thieves,1
LOLTMNT03_214834,114140723403612800,lta_n_split_2_2025,2025-04-06 22:13:45,2025-04-06T22:00:00Z,Disguised,FlyQuest,1
LOLTMNT03_214856,114140723403612794,lta_n_split_2_2025,2025-04-06 23:23:09,2025-04-06T23:00:00Z,LYON,Dignitas,1
LOLTMNT03_221929,114140723403612780,lta_n_split_2_2025,2025-04-12 20:06:56,2025-04-12T20:00:00Z,Cloud9,Disguised,1
LOLTMNT03_222385,114140723403612770,lta_n_split_2_2025,2025-04-12 21:04:54,2025-04-12T21:00:00Z,100 Thieves,FlyQuest,1
LOLTMNT03_222414,114140723403612798,lta_n_split_2_2025,2025-04-12 21:57:46,2025-04-12T22:00:00Z,Dignitas,Team Liquid,1
LOLTMNT03_222431,114140723403612814,lta_n_split_2_2025,2025-04-12 22:50:13,2025-04-12T23:00:00Z,LYON,Shopify Rebellion,1
LOLTMNT03_223562,114140723403612768,lta_n_split_2_2025,2025-04-13 20:06:51,2025-04-13T20:00:00Z,100 Thieves,Disguised,1
LOLTMNT03_224096,114140723403612810,lta_n_split_2_2025,2025-04-13 20:59:14,2025-04-13T21:00:00Z,Shopify Rebellion,FlyQuest,1
LOLTMNT03_223606,114140723403612816,lta_n_split_2_2025,2025-04-13 21:53:10,2025-04-13T22:00:00Z,Team Liquid,LYON,1
LOLTMNT03_223620,114140723403612778,lta_n_split_2_2025,2025-04-13 22:48:13,2025-04-13T23:00:00Z,Cloud9,Dignitas,1
LOLTMNT01_225600,114140723403612808,lta_n_split_2_2025,2025-04-19 20:08:34,2025-04-19T20:00:00Z,FlyQuest,LYON,1
LOLTMNT01_226186,114140723403612788,lta_n_split_2_2025,2025-04-19 21:01:54,2025-04-19T21:00:00Z,Cloud9,Team Liquid,1
LOLTMNT01_226196,114140723403612766,lta_n_split_2_2025,2025-04-19 21:51:22,2025-04-19T22:00:00Z,Dignitas,100 Thieves,1
LOLTMNT01_225761,114140723403612804,lta_n_split_2_2025,2025-04-19 22:54:51,2025-04-19T23:00:00Z,Disguised,Shopify Rebellion,1
LOLTMNT01_226543,114140723403612772,lta_n_split_2_2025,2025-04-20 20:06:58,2025-04-20T20:00:00Z,LYON,100 Thieves,1
LOLTMNT01_227186,114140723403612782,lta_n_split_2_2025,2025-04-20 21:02:57,2025-04-20T21:00:00Z,Cloud9,FlyQuest,1
LOLTMNT01_227215,114140723403612818,lta_n_split_2_2025,2025-04-20 22:02:17,2025-04-20T22:00:00Z,Team Liquid,Shopify Rebellion,1
LOLTMNT01_226667,114140723403612790,lta_n_split_2_2025,2025-04-20 22:53:25,2025-04-20T23:00:00Z,Dignitas,Disguised,1
LOLTMNT01_227642,114140723403612792,lta_n_split_2_2025,2025-04-21 20:07:10,2025-04-21T20:00:00Z,FlyQuest,Dignitas,1
LOLTMNT01_228101,114140723403612784,lta_n_split_2_2025,2025-04-21 20:53:30,2025-04-21T21:00:00Z,LYON,Cloud9,1
LOLTMNT01_227664,114140723403612806,lta_n_split_2_2025,2025-04-21 21:39:42,2025-04-21T22:00:00Z,Disguised,Team Liquid,1
LOLTMNT01_228131,114140723403612774,lta_n_split_2_2025,2025-04-21 22:34:22,2025-04-21T23:00:00Z,100 Thieves,Shopify Rebellion,1
LOLTMNT01_234319,114216998190273786,lta_n_split_2_2025,2025-04-26 20:08:33,2025-04-26T20:00:00Z,100 Thieves,FlyQuest,1
LOLTMNT01_234353,114216998190273787,lta_n_split_2_2025,2025-04-26 21:16:22,2025-04-26T20:00:00Z,100 Thieves,FlyQuest,2
LOLTMNT01_235002,114216998190273778,lta_n_split_2_2025,2025-04-26 22:04:54,2025-04-26T23:00:00Z,Team Liquid,LYON,1
LOLTMNT01_235009,114216998190273779,lta_n_split_2_2025,2025-04-26 22:55:43,2025-04-26T23:00:00Z,LYON,Team Liquid,2
LOLTMNT01_235596,114216998190273758,lta_n_split_2_2025,2025-04-27 20:05:47,2025-04-27T20:00:00Z,Cloud9,Disguised,1
