gameid,date,game_num,blue,red,url
LOLTMNT01_191712,2025-01-25 21:14:31,1,Shopify Rebellion,FlyQuest,
LOLTMNT01_191718,2025-01-25 22:01:01,2,Shopify Rebellion,FlyQuest,
LOLTMNT01_192790,2025-01-25 23:04:54,1,LYON,Cloud9,
LOLTMNT01_192797,2025-01-25 23:52:59,2,LYON,Cloud9,
LOLTMNT01_194069,2025-01-26 21:13:44,1,Disguised,100 Thieves,
LOLTMNT01_194092,2025-01-26 22:01:48,2,Disguised,100 Thieves,
LOLTMNT01_193134,2025-01-26 23:00:44,1,Dignitas,Team Liquid,
LOLTMNT01_193140,2025-01-26 23:52:28,2,Dignitas,Team Liquid,
LOLTMNT01_199069,2025-02-01 21:06:58,1,LYON,Shopify Rebellion,
LOLTMNT01_198719,2025-02-01 21:59:47,2,Shopify Rebellion,LYON,
LOLTMNT01_199106,2025-02-01 22:48:32,3,LYON,Shopify Rebellion,
LOLTMNT01_198743,2025-02-01 23:49:32,1,Disguised,Dignitas,
LOLTMNT01_199126,2025-02-02 00:38:41,2,Dignitas,Disguised,
LOLTMNT01_199134,2025-02-02 01:34:49,3,Disguised,Dignitas,
LOLTMNT01_199589,2025-02-02 21:12:08,1,Team Liquid,100 Thieves,
LOLTMNT01_199614,2025-02-02 22:05:09,2,Team Liquid,100 Thieves,
LOLTMNT01_199618,2025-02-02 23:06:46,3,100 Thieves,Team Liquid,
LOLTMNT01_199622,2025-02-03 00:15:46,1,FlyQuest,Cloud9,
LOLTMNT01_200234,2025-02-03 01:16:17,2,Cloud9,FlyQuest,
LOLTMNT01_199637,2025-02-03 02:02:05,3,FlyQuest,Cloud9,
LOLTMNT01_199640,2025-02-03 02:54:42,1,100 Thieves,Cloud9,
LOLTMNT02_210749,2025-02-09 21:07:49,1,Team Liquid,Shopify Rebellion,
LOLTMNT02_211213,2025-02-09 21:57:01,2,Shopify Rebellion,Team Liquid,
LOLTMNT02_211224,2025-02-09 22:51:45,1,Dignitas,FlyQuest,
LOLTMNT02_210813,2025-02-09 23:49:15,2,FlyQuest,Dignitas,
LOLTMNT02_210822,2025-02-10 00:46:00,1,Team Liquid,FlyQuest,
LOLTMNT03_213249,2025-04-05 20:14:15,1,Team Liquid,FlyQuest,
LOLTMNT03_214267,2025-04-05 21:21:03,1,Shopify Rebellion,Dignitas,
LOLTMNT03_213276,2025-04-05 23:03:21,1,Cloud9,100 Thieves,
LOLTMNT03_214309,2025-04-06 00:09:38,1,Disguised,LYON,
LOLTMNT03_214777,2025-04-06 20:07:24,1,Shopify Rebellion,Cloud9,
LOLTMNT03_213794,2025-04-06 21:16:20,1,Team Liquid,100 Thieves,
LOLTMNT03_214834,2025-04-06 22:13:45,1,Disguised,FlyQuest,
LOLTMNT03_214856,2025-04-06 23:23:09,1,LYON,Dignitas,
LOLTMNT03_221929,2025-04-12 20:06:56,1,Cloud9,Disguised,
LOLTMNT03_222385,2025-04-12 21:04:54,1,100 Thieves,FlyQuest,
LOLTMNT03_222414,2025-04-12 21:57:46,1,Dignitas,Team Liquid,
LOLTMNT03_222431,2025-04-12 22:50:13,1,LYON,Shopify Rebellion,
LOLTMNT03_223562,2025-04-13 20:06:51,1,100 Thieves,Disguised,
LOLTMNT03_224096,2025-04-13 20:59:14,1,Shopify Rebellion,FlyQuest,
LOLTMNT03_223606,2025-04-13 21:53:10,1,Team Liquid,LYON,
LOLTMNT03_223620,2025-04-13 22:48:13,1,Cloud9,Dignitas,
LOLTMNT01_225600,2025-04-19 20:08:34,1,FlyQuest,LYON,
LOLTMNT01_226186,2025-04-19 21:01:54,1,Cloud9,Team Liquid,
LOLTMNT01_226196,2025-04-19 21:51:22,1,Dignitas,100 Thieves,
LOLTMNT01_225761,2025-04-19 22:54:51,1,Disguised,Shopify Rebellion,
LOLTMNT01_226543,2025-04-20 20:06:58,1,LYON,100 Thieves,
LOLTMNT01_227186,2025-04-20 21:02:57,1,Cloud9,FlyQuest,
LOLTMNT01_227215,2025-04-20 22:02:17,1,Team Liquid,Shopify Rebellion,
LOLTMNT01_226667,2025-04-20 22:53:25,1,Dignitas,Disguised,
LOLTMNT01_227642,2025-04-21 20:07:10,1,FlyQuest,Dignitas,
LOLTMNT01_228101,2025-04-21 20:53:30,1,LYON,Cloud9,
LOLTMNT01_227664,2025-04-21 21:39:42,1,Disguised,Team Liquid,
LOLTMNT01_228131,2025-04-21 22:34:22,1,100 Thieves,Shopify Rebellion,
LOLTMNT01_234319,2025-04-26 20:08:33,1,100 Thieves,FlyQuest,
LOLTMNT01_234353,2025-04-26 21:16:22,2,100 Thieves,FlyQuest,
LOLTMNT01_235002,2025-04-26 22:04:54,1,Team Liquid,LYON,
LOLTMNT01_235009,2025-04-26 22:55:43,2,LYON,Team Liquid,
LOLTMNT01_235596,2025-04-27 20:05:47,1,Cloud9,Disguised,
LOLTMNT01_235618,2025-04-27 20:51:24,2,Disguised,Cloud9,
LOLTMNT01_235630,2025-04-27 21:53:01,1,Dignitas,Shopify Rebellion,
LOLTMNT01_235647,2025-04-27 22:45:49,2,Dignitas,Shopify Rebellion,
LOLTMNT01_236128,2025-04-27 23:47:01,3,Shopify Rebellion,Dignitas,
LOLTMNT02_255058,2025-05-03 20:08:26,1,FlyQuest,Shopify Rebellion,
LOLTMNT02_255072,2025-05-03 20:57:55,2,Shopify Rebellion,FlyQuest,
LOLTMNT02_255088,2025-05-03 21:51:15,3,FlyQuest,Shopify Rebellion,
LOLTMNT02_256105,2025-05-03 23:00:48,1,Team Liquid,Disguised,
LOLTMNT02_256109,2025-05-03 23:56:15,2,Disguised,Team Liquid,
LOLTMNT02_256435,2025-05-04 20:08:41,1,100 Thieves,Dignitas,
LOLTMNT02_256446,2025-05-04 21:12:10,2,Dignitas,100 Thieves,
LOLTMNT02_256461,2025-05-04 22:09:23,1,LYON,Cloud9,
LOLTMNT02_256467,2025-05-04 23:04:58,2,Cloud9,LYON,
LOLTMNT02_256476,2025-05-04 23:57:16,3,LYON,Cloud9,
LOLTMNT02_263109,2025-05-10 20:09:23,1,Cloud9,Team Liquid,
LOLTMNT02_263129,2025-05-10 20:58:20,2,Team Liquid,Cloud9,
LOLTMNT02_263190,2025-05-10 22:16:26,1,Shopify Rebellion,100 Thieves,
LOLTMNT02_263200,2025-05-10 23:13:29,2,Shopify Rebellion,100 Thieves,
LOLTMNT02_263222,2025-05-11 00:10:15,3,100 Thieves,Shopify Rebellion,
LOLTMNT02_264596,2025-05-11 20:07:30,1,FlyQuest,Dignitas,
LOLTMNT02_264603,2025-05-11 20:54:32,2,Dignitas,FlyQuest,
LOLTMNT02_263770,2025-05-11 21:47:18,1,Disguised,LYON,
LOLTMNT02_263775,2025-05-11 22:38:25,2,Disguised,LYON,
LOLTMNT06_120185,2025-05-17 20:08:05,1,Cloud9,FlyQuest,
LOLTMNT06_120186,2025-05-17 20:53:29,2,Cloud9,FlyQuest,
LOLTMNT06_121176,2025-05-17 21:42:44,1,LYON,Dignitas,
LOLTMNT06_121177,2025-05-17 22:41:24,2,Dignitas,LYON,
LOLTMNT06_121179,2025-05-17 23:30:37,3,LYON,Dignitas,
LOLTMNT06_120292,2025-05-18 20:07:53,1,Team Liquid,Shopify Rebellion,
